,testco_brand,tesco_price,tesco_category,tesco_name,tesco_description,tesco_currency,GTIN,tesco_condition,tesco_sku
0,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 9 Natural Light Blonde Permanent Hair Dye,L'Oreal Paris Excellence Creme 9 Natural Light Blonde Permanent Hair Dye,GBP,05011408064858,10.0,250037741
1,L'OREAL,7.5,Face Cream & Moisturiser,L'oreal Paris Revitalift Day Cream Spf30 50Ml,L'oreal Paris Revitalift Day Cream Spf30 50Ml. Anti-wrinkle & firming formula . Enriched with Pro-retinol A & Elasti-Flex. Advanced UVA protection,GBP,03600522416906,7.5,278170118
2,L'OREAL,12.5,Face Serums,L'oreal Paris Revitalift Filler Eye Serum 20Ml,"L'OR/P REVLFT FILLER EYE SERUM 20ML . ©2020 Nielsen data, value sales, year to date w/e 11.07.21. For verification https://loreal-paris.co.uk/serumno1",GBP,03600524025540,12.5,311226632
3,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 10 Natural Baby Blonde Permanent Hair Dye,L'Oreal Paris Excellence Creme 10 Natural Baby Blonde Permanent Hair Dye,GBP,05011408065022,10.0,250172735
4,L'OREAL,30.0,Face Cream & Moisturiser,L'Oreal Paris Bright Reveal UV Fluid SPF50 50ml,L'Oreal Paris Bright Reveal UV Fluid SPF50 50ml,GBP,03600524122645,30.0,316059476
5,L'OREAL,16.0,Face Cream & Moisturiser,L'oreal Paris Revitalift Laser Renew Cream Spf25 50Ml,L'oreal Paris Revitalift Laser Renew Cream Spf25 50Ml,GBP,03600523448746,16.0,297631410
6,L'OREAL,5.0,Hairspray,L'Oreal Paris Elnett Shine Strong Hold 200ml,L'Oreal Paris Elnett Shine Strong Hold 200ml,GBP,03600522230359,5.0,274080381
7,L'OREAL,11.0,Permanent Hair Dye,L'Oreal Paris Excellence Universal Nudes 6U Dark Blonde Permanent Hair Dye,L'OREAL PARIS EXCEL UNIVERSAL NUDES DK BLONDE ,GBP,03600523999477,11.0,311213440
8,L'OREAL,32.0,Face Serums,Lor/P Revitalift Pure 12% Vitamin C Serum 30Ml,Lor/P Revitalift Pure 12% Vitamin C Serum 30Ml,GBP,03600524069759,32.0,313731860
9,L'OREAL,4.5,Skincare,L’Oreal Men Expert Hydra. Energetic Face Wash 100Ml,L’Oreal Men Expert Hydra. Energetic Face Wash 100Ml,GBP,03600523718269,4.5,303675590
10,L'OREAL,5.0,Face Cream & Moisturiser,L'oreal Paris Wrinkle Expert Collagen Day Cream 50Ml,L'oreal Paris Wrinkle Expert Collagen Day Cream 50Ml,GBP,03600523183494,5.0,291301470
11,L'OREAL MEN,2.25,Shower,L'oreal Men Expert Total Clean Shower Gel 400Ml,L'OREAL MEN XPRT TOTAL CLEAN SHWR GEL 400ML ,GBP,03600523881611,2.25,308103914
12,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 3 Natural Darkest Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 3 Natural Darkest Brown Permanent Hair Dye,GBP,05011408065015,10.0,250037326
13,L'OREAL,7.0,Brown Hair Dye,L'Oreal Paris Magic Retouch Permanent 3 Darkest Brown,L'OREAL MAGIC RETOUCH PERM 3 DARKEST BROWN ,GBP,03600524043476,7.0,313756600
14,L'OREAL,11.0,Brown Hair Dye,L'Oreal Paris Casting Natural Gloss 223 Espresso Darkest Brown Semi-Permanent Hair Dye,L'Oreal Paris Casting Natural Gloss 223 Espresso Darkest Brown Semi-Permanent Hair Dye,GBP,03600524053819,11.0,314408257
15,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 6 Natural Light Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 6 Natural Light Brown Permanent Hair Dye,GBP,05011408064933,10.0,250037522
16,L'OREAL,2.35,Roll On Deodorant,L’Oreal Men Expert Roll-On Carbon Protect Deodorant 50Ml,"L’Oreal Men Expert Roll-On Carbon Protect Deodorant 50Ml. The power of Carbon Protect anti-perspirant roll-on deodorant . Fights against odour, white & yellow marks & protects against sweat. 50ml of 48-hour Total Protection ",GBP,03600522107941,2.35,272483535
17,L'OREAL,9.0,Hair Masks & Oil,L'oreal Elvive Hydra Hyaluronic Wonder Water Conditioner 200ml,L'oreal Elvive Hydra Hyaluronic Wonder Water Conditioner 200ml,GBP,03600524078263,9.0,313601634
18,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Brown 75ml,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Brown 75ml,GBP,03600523192700,10.0,291570478
19,L'OREAL MEN,10.65,Skincare,L'oreal Men Expert Power Age Revitalising 24 Hour Moisturiser 50Ml,L'oreal Men Expert Power Age Revitalising 24 Hour Moisturiser 50Ml,GBP,03600524073817,10.65,313730106
20,L'OREAL,4.5,Face Cream & Moisturiser,L'oreal Paris Triple Active Day Cream Moisturiser 50Ml,"L'oreal Paris Triple Active Day Cream Moisturiser 50Ml. Revitalise & protect skin for an improved ability to retain water. Enriched with ceramide, Vitamin E & UV filters. Rich, non-greasy formula melts into skin for combination skin",GBP,03600521719596,4.5,265317888
21,L'OREAL,7.0,Brown Hair Dye,L'Oreal Paris Magic Retouch Permanent 5 Brown,L'OREAL MAGIC RETOUCH PRMT 5 BROWN ,GBP,03600524043674,7.0,314408997
22,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Blonde 75ml,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Blonde 75ml,GBP,03600523192717,10.0,291570530
23,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference 8 California Light Blonde Permanent Hair Dye,L'Oreal Paris Preference 8 California Light Blonde Permanent Hair Dye,GBP,05011408019094,12.0,258198491
24,L'OREAL MEN,2.25,Shower,L’Oreal Men Expert Hydra. Energetic Shower Gel 400Ml,L’Oreal Men Expert Hydra. Energetic Shower Gel 400Ml,GBP,03600523881666,2.25,308098907
25,L'OREAL,7.5,Skincare,L’Oreal Men Expert Barberclub Beard & Face Wash 200Ml,L’Oreal Men Expert Barberclub Beard & Face Wash 200Ml,GBP,03600523526130,7.5,299154020
26,L'OREAL,5.0,Face Cream & Moisturiser,L'oreal Paris Wrinkle Expert 55+ Calcium Day Cream 50Ml,L'oreal Paris Wrinkle Expert 55+ Calcium Day Cream 50Ml,GBP,03600523183500,5.0,291301907
27,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Cool 7.11 Ultra Ash Blonde,L'OREAL PARIS EXCEL COOL ULTRA ASH BLONDE ,GBP,03600523942015,10.0,311215904
28,L'OREAL,2.15,Travel Toiletries,L'oreal Elvive Dream Lengths Shampoo 90ml,L'Or/P Elvive Dream Lengths Shampoo 90ml ,GBP,03600523965861,2.15,310162011
29,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 5.3 Natural Golden Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 5.3 Natural Golden Brown Permanent Hair Dye,GBP,05011408064964,10.0,250037833
30,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 5.5 Natural Mahogany Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 5.5 Natural Mahogany Brown Permanent Hair Dye,GBP,05011408064957,10.0,251041590
31,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference Cool Blondes 7.1 Iceland Permanent Hair Dye,L'OREAL PARIS PREFERENCE COOL BLONDES ICELAND ,GBP,03600523947539,12.0,311426879
32,L'OREAL,5.0,Face Cream & Moisturiser,L'oreal Paris Wrinkle Expert 45+ Day Cream 50Ml,L'oreal Paris Wrinkle Expert 45+ Day Cream 50Ml,GBP,03600523183517,5.0,291302342
33,L'OREAL,5.0,Face Cream & Moisturiser,L'oreal Paris Wrinkle Expert 65+ Day Cream 50Ml,L'oreal Paris Wrinkle Expert 65+ Day Cream 50Ml,GBP,03600523428038,5.0,305252183
34,L'OREAL,11.0,Blonde Hair Dye,L'Oreal Paris Casting Natural Gloss 823 Latte Light Blonde Semi-Permanent Hair Dye,L'Oreal Paris Casting Natural Gloss 823 Latte Light Blonde Semi-Permanent Hair Dye,GBP,03600524053772,11.0,314430759
35,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference 9.1 Oslo Viking Light Ash Blonde Permanent Hair Dye,L'Oreal Paris Preference 9.1 Oslo Viking Light Ash Blonde Permanent Hair Dye,GBP,05011408000252,12.0,293465208
36,L'OREAL,10.0,Semi Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 515 Chocolate Truffle Brown Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 515 Chocolate Truffle Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",GBP,03600520987750,10.0,266381929
37,L'OREAL,11.0,Blonde Hair Dye,L'Oreal Paris Excellence Nudes Universal 10U Lightest Blonde Permanent Hair Dye,L'Or Excl Nudes 10U Ltst Blonde Prmt Hair Dye ,GBP,03600523999521,11.0,313945630
38,L'OREAL,11.0,Permanent Hair Dye,L'Oreal Paris Excellence Universal Nudes 9U Very Light Blonde Permanent Hair Dye,L'Or Paris Excl Universal Nudes 9U Very Lght Bld ,GBP,03600523999514,11.0,311449126
39,L'OREAL,10.0,Face Cream & Moisturiser,L'oreal Paris Age Perfect Golden Age Rosy Day Cream 50Ml,L'oreal Paris Age Perfect Golden Age Rosy Day Cream 50Ml,GBP,03600523216086,10.0,291300776
40,L'OREAL,8.25,Skincare,L’Oreal Men Expert Barberclub Beard Oil 30Ml,L’Oreal Men Expert Barberclub Beard Oil 30Ml,GBP,03600523526062,8.25,299154008
41,L'OREAL,4.5,Skincare,L’Oreal Men Expert Charcoal Face Wash 100Ml,L’Oreal Men Expert Charcoal Face Wash 100Ml,GBP,03600523707997,4.5,303675519
42,L'OREAL,12.0,Black Hair Dye,L'Oreal Paris Preference Core 1 Napoli Permanent Hair Dye,L'Oreal Paris Preference Core 1 Napoli Permanent Hair Dye,GBP,03600523799657,12.0,313855293
43,L'OREAL,5.0,Face Cream & Moisturiser,L'oreal Paris Wrinkle Expert 65+ Night Cream 50Ml,L'oreal Paris Wrinkle Expert 65+ Night Cream 50Ml,GBP,03600523428021,5.0,305045139
44,L'OREAL,2.5,Face Cleansing,L'oreal Paris Age Perfect Refreshing Toner 200Ml,L'oreal Paris Age Perfect Refreshing Toner 200Ml. Smoothing and anti-fatigue. Enriched with vitamin C. For mature skin,GBP,05011408061581,2.5,252223293
45,L'OREAL,10.0,Semi Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 200 Ebony Black Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 200 Ebony Black Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",GBP,03600520987675,10.0,260994191
46,L'OREAL,12.5,Face Cream & Moisturiser,L'oreal Paris Revlft Filler Anti-Aging Cream Spf 50 50Ml,L'oreal Paris Revlft Filler Anti-Aging Cream Spf 50 50Ml,GBP,03600523982806,12.5,311675290
47,L'OREAL,7.5,Face Serums,L'oreal Revitalift Core White Serum 30Ml,L'oreal Revitalift Core White Serum 30Ml,GBP,03600523279111,7.5,292905094
48,L'OREAL,2.25,Shower,L'oreal Men Expert Body Hair & Beard Wash 400Ml,L'OREAL MEN XPRT BODY HAIR & BEARD WASH 400ML ,GBP,03600523980505,2.25,308462056
49,L'OREAL,7.5,Face Cream & Moisturiser,L'oreal Paris Revitalift Night Cream 50Ml,L'oreal Paris Revitalift Night Cream 50Ml. 50ml size. For skin type: All Skin Types. Face Cream,GBP,05011408040791,7.5,252076316
50,L'OREAL,11.0,Brown Hair Dye,L'Oreal Paris Casting Natural Gloss 523 Hazelnut Light Brown Semi-Permanent Hair Dye,L'Oreal Paris Casting Natural Gloss 523 Hazelnut Light Brown Semi-Permanent Hair Dye,GBP,03600524053789,11.0,314312387
51,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 7 Natural Dark Blonde Permanent Hair Dye,L'Oreal Paris Excellence Creme 7 Natural Dark Blonde Permanent Hair Dye,GBP,05011408064919,10.0,250037574
52,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference 7.3 Florida Golden Blonde Permanent Hair Dye,L'Oreal Paris Preference 7.3 Florida Golden Blonde Permanent Hair Dye,GBP,05011408000245,12.0,255317235
53,L'OREAL,9.0,Permanent Hair Dye,L'Oreal Paris Preference Vivids 10.11 Silver Grey Permanent Hair Dye,L'OREAL PARIS PREFERENCE SILVER GREY ,GBP,03600524015244,9.0,311202277
54,L'OREAL,10.5,Skincare,L’Oreal Men Expert Hydrating Energetic Eye Roll On 10ml,L’Oreal Men Expert Hydrating Energetic Eye Roll On 10ml,GBP,03600521667279,10.5,266124878
55,L'OREAL,2.15,Travel Toiletries,L'oreal Elvive Dream Lengths Conditioner 90ml,L'Or/P Elvive Dream Lengths Conditioner 90ml ,GBP,03600523965946,2.15,310166479
56,DERMO EXPERTISE,2.5,Face Wipes,L'oreal Fine Flowers Cleansing Wipes Dry Sensitive 25S,L'oreal Fine Flowers Cleansing Wipes Dry Sensitive 25S,GBP,03600523457991,2.5,295316930
57,L'OREAL,15.0,Face Cream & Moisturiser,L'oreal Paris Age Perfect Rehydrating Day Cream 50Ml,"L'oreal Paris Age Perfect Rehydrating Day Cream 50Ml. Anti-sagging, anti-age spots. Enriched with Soya peptides + melanin-block. For mature skin",GBP,05011408054392,15.0,251287304
58,L'OREAL,12.0,Permanent Hair Dye,L’Oreal Preference 5.3 Virginia Chestnut Brown Permanent Hair Dye,L’Oreal Preference 5.3 Virginia Chestnut Brown Permanent Hair Dye,GBP,05011408000177,12.0,255317016
59,EXCELLENCE,10.0,Blonde Hair Dye,L'Oreal Paris Excellence Core 8.1 Natural Ash Blonde Permanent Hair Dye,L'Oreal Paris Excellence Core 8.1 Natural Ash Blonde Permanent Hair Dye,GBP,05011408064889,10.0,251041486
60,L'OREAL MEN,2.25,Shower,L'oreal Men Expert Magnesium Shower Gel 400Ml,L'OREAL MEN XPRT MAGNESIUM SHOWER GEL 400ML ,GBP,03600524030162,2.25,311448571
61,L'OREAL,2.35,Roll On Deodorant,L’Oreal Men Expert Invincible Sport Rollon Deodorant 50Ml,L’Oreal Men Expert Invincible Sport Rollon Deodorant 50Ml,GBP,03600523438051,2.35,295581113
62,L'OREAL,10.0,Brown Hair Dye,L'Oreal Paris Magic Retouch 10 Golden Brown 75ml,L'Oreal Paris Magic Retouch 10 Golden Brown 75ml,GBP,03600523388240,10.0,314427355
63,L'OREAL,10.0,Semi Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 550 Mahogany Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 550 Mahogany Semi-Permanent Hair Dye. Transform your hair with a glossy shine in the mahogany finish. Lasts up to 28 shampoos with patented conditioning complex with no ammonia. For all types of hair: Suitable for use on natural, coloured or highlighted",GBP,03600520987781,10.0,260994064
64,L'OREAL,12.5,Face Cream & Moisturiser,L'oreal Revitalift Fill Night Cream 50Ml,L'Oreal Revitali . Containing a high concentration of Hyaluronic Acid. Enriched with Fibroxyl plant extract. reduce wrinkles and re plump the skin,GBP,03600523201303,12.5,302370773
65,L'OREAL,10.0,Semi Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 323 Dark Chocolate Brown Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 323 Dark Chocolate Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",GBP,03600521366035,10.0,264643366
66,L'OREAL,11.0,Permanent Hair Dye,L'Oreal Paris Excellence Universal Nudes 8U Light Blonde Permanent Hair Dye,L'OREAL PARIS EXCEL UNIVERSAL NUDES LIGHT BLD ,GBP,03600523999507,11.0,311271519
67,L'OREAL,12.5,Face Cream & Moisturiser,L'oreal Revita Hyaluronic Acid Day Cream 50Ml,L'Oreal Revitali ,GBP,03600522892335,12.5,302353333
68,L'OREAL,11.0,Brown Hair Dye,L'Oreal Paris Casting Natural Gloss 423 Chestnut Brown Semi-Permanent Hair Dye,L'Oreal Paris Casting Natural Gloss 423 Chestnut Brown Semi-Permanent Hair Dye,GBP,03600524053796,11.0,314326889
69,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 454 Chocolate Brownie Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 454 Chocolate Brownie Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",GBP,03600521286579,10.0,267670851
70,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 4 Natural Dark Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 4 Natural Dark Brown Permanent Hair Dye,GBP,05011408065008,10.0,250037401
71,DERMO EXPERTISE,16.0,Face Cream & Moisturiser,L'oreal Paris Revitalift Laser Renew Cream 50Ml,"L'oreal Paris Revitalift Laser Renew Cream 50Ml. Replumps, refirms, refines. Hyaluronic acid + pro-xylane 3%. Dermatologically tested",GBP,03600522248798,16.0,274708971
72,L'OREAL,2.35,Deodorants,Loreal Men Deodorant Fresh Extreme 50Ml,Loreal Men Deodorant Fresh Extreme 50Ml,GBP,03600521848289,2.35,266793540
73,L'OREAL,20.0,Face Cream & Moisturiser,Lor/P Revlft Spf50+ Anti Ultra Violet Fluid 50Ml,Lor/P Revlft Spf50+ Anti Ultra Violet Fluid 50Ml,GBP,03600524069698,20.0,313735372
